code,name,aggregate_score,in_law_score,in_practice_score,findings,electoral_system
RU,Russian Federation,51,71,45,"Russia has a strong political finance regime, and is a good example of a country in which political finance regulations, rather than encouraging a level playing field, actually restrict electoral competition. Direct public funding is awarded to parties in the form of post election reimbursements, in law and in practice, on the basis of electoral performance. Free access to advertising is provided to parties and candidates, but during the 2011 and 2012 elections, slots were distributed so as to privilege the ruling party's campaign. Further, non-financial state resources were frequently deployed by the ruling party for electoral purposes. Contributions are highly restricted, and a cap is in place for electoral spending by both parties and candidates. In practice, however, many violations of these restrictions occurred during recent elections. In law, parties and candidates both are required to report their financial information during campaign periods, but outside the campaign, only parties must file reports. In practice, submitted reports often fail to include all contributions, especially in-kind contributions, and are not fully itemized. Some of the submitted information is published online, and of that, some is in a machine readable format. Third party actors, despite being active in Russian campaigns, are not regulated. The Central Elections Commission (CEC) is in charge of enforcing political finance law. The CEC is highly politicized, and typically focuses its regulatory power on opposition parties. It is largely opaque in its operations. The CEC cannot impose sanctions on parties or candidates found to have violated the law, so it passes along recommendations to other government agencies, including the Ministry of Finance and the General Prosecutor, when pursuing punishments. Violators typically comply with the imposed sanctions. That said, due to the CEC's bias, rules are selectively enforced so as to favor the ruling party, and restrictions on contributions inhibit opposition parties ability to meaningfully contest elections.","The Russian Federation is a federal semi-presidential republic with a bicameral parliament, known as the Federal Assembly. The Federation Council, the upper house, comprises  167 representatives, with two representatives from each of the Federation's constituent members (formally, the number should be 170 to reflect representation from 85 federal subjects). The two delegates for each federal constituent unit are subject to different election procedures. Representatives for the legislative component are members of the federal subject's legislature and are nominated by the chairman of their regional assembly. The legislative representatives are elected by a vote in their regional assembly. Federal Council delegates representing the executive function are appointed by governors of their federal region.

The State Duma, the lower house of parliament, is composed of 450 members who are elected on a party list proportional representation system.  Seats in the Duma are divided among parties whose federal list of candidates obtains 7% of the national vote, provided that there at least two such lists and that these lists together receive more than 60% of the total vote (the threshold to entry will change to 6% from 2016).  Additionally, lists that receive less than 7% but more than 6% of the national vote receive two seats, whereas parties with between 5% and 6% of the national vote will be rewarded with one seat in the Duma. The Prime Minister is the head of government, and he is selected from the leading party in the Duma.  Parties manage the campaign finances of Duma candidates.

The President, the head of state, is elected by the people for a six year term.  No more than two consecutive terms may be served.  Presidential candidates typically fund and manage their own campaigns.

The most recent elections to the Duma were held in December of 2011. Four political parties secured seats in the Duma: United Russia secured 238 (49.3%) of the 450 seats, the Communist Party (KPRF) won 92 seats (19.19%), Just Russia took 64 (13.2%) seats, while LDPR won 56 (11.7%). The election was marred by allegations of electoral fraud.

The most recent presidential elections occurred in May of 2012. Five registered presidential candidates competed at the polls. Vladimir Putin, then Prime Minister representing the ruling United Russia, won the election with 63.6 of the vote. Gennady Zyuganov (KPRF) won 17.2%. Mikhail Prokhorov, an independent candidate secured 8% of the vote. Vladimir Zhirinovsky (LDPR) and Sergey Mironov (Just Russia) won 6.2% and 3.9% respectively."
RW,Rwanda,30,28,41,"In Rwanda, there is direct public funding, both in law and in practice, for parties and candidates. Funds are disbursed after campaigns. No indirect funding is provided. Non-financial state resources are often abused. With the exception of a ban on contributions from foreign sources to political parties, contributions and expenditure are not restricted in the least. In the absence of contribution limits, parties are funded by their members and the business ventures they control. Reporting requirements in Rwanda are very light: the only requirement articulated in law is that parties must submit financial reports on an annual basis. Only contributions over more than one million Rwandan francs have be included in the reports. Further, no reporting during campaigns is necessary, and candidates do not have to report at all. This means that, in practice, very little meaningful political finance data is reported, and even less is easily available to the public, which can only access submitted reports by request. Interestingly, there were no documented cases of political finance violations during the 2010 and 2013 elections. This is explained by the fact that, in a largely unregulated political finance regime, breaking the law is nigh on impossible. Third party actors are not regulated in Rwanda. The Office of the Ombudsman is responsible for oversight of political finance issues. Appointees, in practice, are not chosen in public, merit-based processes, and the independence of Ombudsmen is not guaranteed. Nevertheless, the office carried out at least 16 investigations into political finance during the 2010 and 2013 elections, though it released no information on the results of those audits. It has limited power to impose sanctions, but its edicts are complied with when they are issued. In general, Rwanda's political finance regulatory framework is very weak. Few laws address the issue, and despite the power of the Ombudsman, little practical enforcement occurs.","Rwanda is a parliamentary republic with a directly elected president.  Presidents can serve two seven year terms, and campaign funds are funded at the party level.  The legislature is bicameral.  The lower house, called the Chamber of Deputies, is composed of 80 members elected to 5 year terms.  Of the 80 deputies, 53 are directly elected at the district level on a closed party list system of proportional representation.  24 members must be female, and they're elected by provincial councils; 2 members are appointed by the National Youth Council, and 1 seat is reserved for a member chosen by the Federation of the Associations of the Disabled.  Campaigns for deputies are operated and funded at the party level.

The upper house, or Senate, has 26 members who serve 8 year terms--senators are not directly elected.  12 of these members are elected by provincial councils, 8 are appointed by the president, 4 are chosen by the Forum of Political Formations, and 2 are selected by university staff.  

The most recent presidential elections occurred in 2010, while the last parliamentary elections were held in 2013.  The ruling party of President Paul Kagame, the RPF, dominated both elections."
SB,Solomon Islands,15,19,11,"The Solomon Islands do not have systems of direct or indirect public funding. Non-financial state resources often featured in the 2010 campaign. The legal framework does not include many restrictions on contributions. Candidate spending is limited, but parties are able to spend as much as they like during campaigns. Both parties and candidates, in law, must file financial reports after the campaign season, and parties must also submit annual reports. In practice, few parties or candidates actually file the required information. The data that is submitted is concerned solely with expenditures. No contribution data is available. Further, the public cannot, in practice, any political finance information. The independent political activities of third party actors are totally unregulated. The Political Parties Commission (PPC), newly established in 2014, has the power to oversee the finances of political parties, but not independent candidates who are not party members. The PPC's members are not appointed on merit, nor are they fully guaranteed independence. During the most recent elections, the Electoral Commission was still in charge of regulating political finance -- its ability to conduct oversight was highly limited, and it did not successfully impose any sanctions after the last campaign.","Solomon Islands is a constitutional monarchy and has a unicameral 50 member parliament with a """"first past the post"""" election system.  Only one candidate that recieves more vote wins the election.  Campaign funds are managed both by the candidate and party level.

The head of government is the Prime Minister, who is elected by Parliament and he chooses the cabinet. Each ministry is headed by a cabinet member, who is assisted by a permanent secretary, a career public servant who directs the staff of the ministry.

The prime Minister is voted in by members of parliament and he appoints his cabinet members. The Governer General is also voted by the members of Parliament to save for 5 years.

The most recent elections prior tot he study period were held in 2010 and most recently on 19 November 2014."
SE,Sweden,37,39,50,"The Swedish political finance system provides direct public funding for both parties and candidates. This funding takes the form of reimbursements after campaigns, and is applied equitably in practice. Parties and candidates do not, however, receive any indirect assistance. Intriguingly, Sweden does not explicitly ban the use of non-financial state resources during campaigns, and yet, no such resources are used. This fact makes Sweden one of a few outliers in the MPT sample. Restrictions on contribution and expenditure are mostly nonexistent. For funding, parties rely primarily on public disbursements, though private donations and party held businesses also provide some financing. A new 2014 law now requires parties and candidates have to report on their contributions received on an annual basis. No other requirements exist, and the law has not yet been in place long enough to assess whether, in practice, reports are actually filed. Before the passage of this new law, parties came to an informal agreement by which they self-published their contributions received each year. This meant that, in practice, the public had access to some political finance information, but no data on expenditures was available. The independent political activities of third party actors are not regulated under Swedish law. The 2014 reform designated a new authority, the Legal, Financial, and Administrative Services Agency (LFAS), to oversee political finance. In law, the LFAS does not have investigative powers, though it can enforce sanctions for failures to comply with the law. At the time of this research, the LFAS had yet to oversee an election campaign, making it difficult to assess its enforcement of sanctioning authority.","Sweden has a unicameral legislature.  Elections to the Riksdag are held every four years, and seats are allocated on the basis of proportional representation.  To enter parliament, a party must obtain at least 4% of the national vote, or 12% of the vote in a single constituency.  Seats in the Riksdag are divided into permanent and non-permanent seats due to the proportional representation rule.  The adjusted odd number method is used to allocate a total of 310 permanent seats.  In the current electoral cycle, an additional 39 non-permanent seats were allocated to parties.

Voting usually occurs on a party list basis, but preference voting for a specific candidate instead of a party is permitted.

The prime minister is the head of government, and is appointed by members of the Riksdag.  The Swedish monarch is the head of state.

Campaigns are paid for by parties (parties are publicly funded), and largely managed at the party level.

The most recent elections occurred in September 2010, though new elections will be held in September of 2014. In the 2010 elections, eight parties won seats in parliament, in descending order by number of seats the Social Democrats, the Moderate party, the Green party, the Liberal party, the Centre party, the Sweden Democrats and (same number of seats) the Left party and the Christian Democrats. The government was formed by the Moderate party, the Liberal party, the Centre party and the Christian democrats."
SI,Slovenia,62,80,66,"In Slovenia, both parties and candidates are entitled to receive reimbursements after the conclusion of campaigns. In practice, they do so. Indirect public funding in the form of free access to public media is also provided, though in the 2011 and 2014 parliamentary elections, some parties received more advertising slots than they should have according to the allocation mechanism prescribed in law. Non-financial state resources are often abused in Slovenian campaigns. Contributions are highly regulated, and there is also a cap on spending during campaigns. The spending cap is applicable to both candidates and parties. Few, if any, violations of these limits have occurred during recent campaigns, making Slovenia a relatively rare case among the countries researched for this project. During campaigns, both parties and candidates are required to submit financial reports; outside of the campaign season, only parties have to file annual reports on their financial dealings. Filed reports are somewhat detailed, though many lack a full list of contributors. Some third party actors, notably party academies, conduct campaign activities, but they are not subject to any regulation. The Court of Auditors, a highly respected institution, oversees political finance. In practice, its members are appointed in public, merit-based processes, though their independence is not fully guaranteed. The Court of Auditors has a relatively large staff and budget, and it conducted numerous audits during the 2011 and 2012 elections. The results of its investigations are transparent. Regarding sanctions, the Court of Auditors has not imposed many in recent years, but some penalties have been complied with.","Slovenia is a parliamentary republic with a bicameral legislature.  Formally, the head of state is the president.  Presidents are directly elected in a majoritarian run off  system to 5 year terms, of which they may serve no more than two consecutively.  In presidential elections, campaign funds are managed both on the party level and at the individual level, depending on the characteristics of the candidate.  If the candidate is formally independent, he manages his campaign, but if he runs under a party banner, the party will be largely responsible for his campaign activities and finances.

The National Assembly (Državni Zbor) is the lower house of Parliament.  It has 90 members.  88 of those members are elected to 4 year terms in a closed list PR system with a 4% threshold for party representation.  2 seats are reserved for the Hungarian and Italian minorities in Slovenia, and they are directly elected by members of those minorities using the Borda system (in which voters rank the list of candidates in order of preference, and candidates receive points equal to their rankings and the number of candidates competing).  Campaigns are managed at the party level.  According to the Constitution, deputies of the National Assembly are representatives of all the people and shall not be bound by any instructions. The rights and duties of citizens and other persons may be determined by the National Assembly only by law.  Laws may be proposed by the Government or by any deputy. Laws may also be proposed by at least five thousand voters. The National Assembly may order inquiries on matters of public importance, and it must do so when required by a third of the deputies of the National Assembly or when required by the National Council. For this purpose it shall appoint a commission which in matters of investigation and examination has powers comparable to those of judicial authorities.

The National Council (Državni Svet) is the upper chamber of Parliament.  It has 40 members who are indirectly elected by civil society organisations and local bodies and composed by representatives of functional and local interests.  The Council has little power, and no formal election campaigns occur.

The most recent Presidential elections were held in November and December of 2012, and the most recent parliamentary elections occurred in July 2014.  Most of this assessment is based on data from the previous parliamentary elections in 2011.

The Seventh National Assembly elections took place on 4 December 2011. These were the first early elections in the history of independent Slovenia. With the 28,51% of the votes, the winner of the elections was Pozitivna Slovenija (Positive Slovenia) and its leader, Zoran Jankovič. The party received 28 seats in the National Assembly (NA). Second place, with 26 seats was occupied by Slovenska demokratska stranka (Slovenian Democratic Party) and in third with 10 seats was Socialni demokrati (Social democrats). This was the first time in the history that the winning party did not form Government since Pozitivna Slovenija could not find coalition partners. The Government was then formed by the second political party Slovenska demokratska stranka.

The President of the Republic of Slovenia is formally the highest political official in Slovenia, while the PM in reality posses the biggest power.  The President is charged with ""representing the Republic of Slovenia at home and abroad, and is the supreme commander of its armed forces"" (Article 102 of the Constitution of the Republic of Slovenia). The President of the Republic calls elections to the National Assembly; promulgates laws; appoints state officials where provided by law; appoints and recalls ambassadors and envoys of the Republic, and accepts the letters of credence of foreign diplomatic representatives; issues instruments of ratification; decides on the granting of clemency; confers decorations and honorary titles; performs other duties determined by this Constitution. 

Where required by the National Assembly the President of the Republic also calls for elections. In addition, the President also proposes and/or appoints the leadership of the independent supervisory institutions, like the Commission for the Prevention of Corruption, the Information Commissioner, the Court of Audit, Ombudsman, etc."
TH,Thailand,50,58,55,"The political finance situation in Thailand is currently complicated by the ongoing political crisis, in which the Constitution and other legislation were suspended indefinitely. According to the Constitution, parties are entitled to direct public funding. In practice, that funding was distributed in early 2014, but then returned to the authorities after the Constitution's suspension. Parties also, in law, receive free air time for advertising. However, the turmoil in Thailand affected the distribution of advertising slots, resulting in a less than equitable situation. The legal framework sets forth several restrictions on contributions, and also limits the amount that can be spent during elections. Some financial information must be reported: parties and candidates must submit post election financial reports, and parties must file additional reports annually. In practice, the submitted reports contain some information on contributors. Some of that data is then published online in pdf formats, but not all of it is accessible to the public. The independent political activities of third parties actors are not regulated in Thailand. The Election Commission of Thailand (ECT) is charged with oversight of political finance. In practice, appointees to the ECT are not chosen on merit, nor is their independence protected. Nevertheless, the body does have a substantial staff and budget, and conducted several investigations into potential violations in the wake of the 2014 elections. Sanctions imposed by the ECT are typically respected.","Thai parliament is a bicameral parliament. It is composed of two chamber – Senate (Upper House) and House of Representatives (Lower House). An electoral system that is employed for Senate’s election (77 seats out of 150) is a plurality system (first past the post). The remaining of 73 seats is appointed. A mixed-electoral system or to be specific ‘Mixed-Member-Majoritarian’ is an electoral system for a House of Representatives. A House of Representatives consists of 500 MPs, which 375 MPs are elected in a single-member district throughout the country using a plurality system (FPTP) and the remaining 125 MPs are elected in a nation-wide party list using proportional representation system with no minimum threshold. For the party list, it is an open list that each party has to submit to the Election Commission before the last day of candidacy submission. However, a party may not need to submit a list of 125 candidates for a party list submission (meaning that it can sumit less than 125 candidates for party list). A calculation method for allocating seats in party list is a highest averages methods or the D’Hondt method. 

A February 2, 2014 general election is the most recent election in Thailand as a result of an announcement of dissolution of parliament by the PM Yingluck Shinawatra on December 9, 2013. A string of political crises has led to this early election. Before an election day, there were several concerns about whether a general election should be postponed due to political crises and difficulties in electoral administration. During a period of candidacy registration, an opposition who called for a boycott of this election had disrupted a registration process – by preventing candidate to enter a registration venue, which this event turned violence or by blocking a transportation convoy of ballots, in many parts of Thailand. It is noteworthy that ‘Democrat Party’ an oldest and major political party in Thailand also boycotted this election. An election, however, has proceeded as scheduled – though some of the poll stations were blocked by protesters.

Because of violence and disruption between pro and anti-government protestors during a period of election and on an Election Day (and political atmosphere in general), a state ombudsman filed a petition to the constitutional court to rule on this matter. On March 21, 2014 Thailand’s Constitutional court ruled that February 2 election is invalid. As a result, political crisis was still continuing and deepening. Until, May 20, 2014 the Army declared martial law followed by a coup d’état on May 22, 2014."
TR,Turkey,39,50,37,"There is direct public funding for parties in Turkey, both in law and in practice. Turkish law also provides indirect assistance, in the form of access to media during campaigns. Non-financial state resources are widely abused during campaigns. Restrictions on contribution apply only to parties and to presidential candidates; no limits constrain the size of donations to parliamentary candidates. Despite these loopholes, violations of the law are, in practice, relatively frequent. Campaign spending is not limited for any actor. In terms of reporting requirements, parties are supposed to submit annual financial reports, and presidential candidates are required to file reports after the conclusion of campaigns. Parliamentary candidates are not obligated to report any financial information. In practice, many of the reports that are filed do not include in-kind contributions or their contributors. Direct political finance data is not accessible to the public. Third party actors and their campaign activities are under no regulation in Turkey. Responsibility for monitoring political finance is split between two bodies: the Constitutional Court and the Supreme Board of Elections. The former is responsible for parties' compliance with the law, while the latter oversees presidential candidates. Concerns about the merit of the members of these bodies exist, and their independence is not fully guaranteed. In practice, neither authority conducts investigations. Nevertheless, sanctions imposed on violators are often, but not always, complied with. Enforcement in Turkey is weakened by the bifurcation of responsibilities between two separate authorities, and by loopholes that reduce the effectiveness of the current legal framework.","The Grand National Assembly of Turkey (TGNA) is a unicameral parliament which is composed of 550 deputies who are elected by popular vote every four years. Voters vote for a party list of deputies without being able to choose specific individual candidates from the lists; i.e., they can only vote in block for a single party list as determined by the central party organs. Therefore, the electoral system can be characterized as a closed-list proportional representation system. The allocation of seats is calculated according to the D’Hondt method. A 10 percent nationwide threshold is practiced in elections. Those political parties failing to receive at least 10% of the valid votes throughout the country in general elections cannot be represented in the parliament. However, this threshold does not apply to independent candidates. 

Electoral campaigns are basically funded by political parties yet candidates also make a budget for their individual expenses relative to their own wealth and personal networks.

The President of the Republic is the Head of the State, elected for five years and no more than two terms. The Head of the State was elected by a popular vote for the first time on August 10, 2014. According to the Law No. 6271 on Presidential Elections presidential candidates shall have only donations and aids from natural persons who are Turkish citizens. However, the Supreme Board of Elections issued a circular enabling the political parties to organize campaigns for the candidates, which is not regulated by the law. Thus, campaigns were funded by the donations to the candidates and by political parties. Although the candidates were not eligible to receive state funding, except for free air time, the presidential campaigns were also funded indirectly by the state aid through the three political parties which received annual state aid.

The Council of Ministers (Cabinet) consists of the Prime Minister designated by the President of the Republic from among members of the TGNA, and ministers nominated by the Prime Minister and appointed by the President. Members of the Council of Ministers (Cabinet) are responsible for the execution of general policies. The Prime Minister has legal and political responsibility for the activities of the Council of Ministers as a whole. Although the President is given extensive powers, the current constitutional system is a prime-ministerial model rather than a presidential one. 

Turkey is a unitary and centralized state with relatively decentralized local administrations. The multi-party system has evolved gradually since 1946 and faced three military interventions in 1960, 1971 and 1980. The 1982 Constitution is based on the rationalization of parliament and strengthening of the executive. 

Elections and referenda shall be held under the direction and supervision of the judiciary, in accordance with the principles of free, equal, secret and direct voting, universal suffrage, and public counting of the votes. The most recent elections include:
Presidential election on 10 August 2014
Local administration elections on 30 March 2014 
Parliamentary elections on 12 June 2011"
TT,Trinidad & Tobago,27,32,30,"In Trinidad and Tobago, political finance is, for the most part, unregulated. No direct or indirect public funding is provided, and few restrictions on contributions exist. Campaign spending is limited for candidates, but parties are not addressed in the law. In fact, parties are not the subject of any legislation whatsoever, despite their prominent presence in the Trinidadian political scene. Reporting requirements mandate only that candidates submit annual reports. In practice, these reports tend to include some itemized information. Submitted reports are eventually republished in newspapers, but no political finance data is made available online. Third parties play a role in elections, but in law, their independent political activities are not regulated. The Elections and Boundaries Commission of Trinidad and Tobago (EBC) is in charge of monitoring political finance. The EBC does not have audit or investigatory powers. In practice, it also lacks the staff capacity and expertise to substantively monitor political finance, and it neither carries out investigations nor imposes sanctions. Despite several recent efforts to reform how campaigns are financed in Trinidad & Tobago, the regulatory system and its enforcement remain weak.","Trinidad and Tobago is a twin-island Republic (republican status was attained in 1976). It operates under the Westminster/Whitehall model of government. It has a bi-cameral legislature comprised of two houses or chambers, namely the upper house  which is called the Senate and the lower house, which is termed the House of Representatives.  When the two houses meet they are called the Parliament. 

Unlike the Westminster model in the United Kingdom, in nearly all the Anglophone countries of the Caribbean, the modified Westminster model of Government has a written Constitution which is the supreme Law of the Land.  The Head of State is the  President  who is nominated  by the  secret ballots of an electoral college comprising members from both  the Senate ( the upper house) as well as members from the House of Representatives ( the lower house). While some suggest that the office of President is  a 'titular position' the President has numerous powers including the power of 'veto' for Acts of Parliament. In addition he is the Commander of the Armed Forces.  

The Head of Government is the Prime Minister.  The Prime Minister is the leader of the party or coalition that controls the majority of  members in the House of Representatives.  The House of Representatives, curently comprised of forty one members of Parliament, is one in which members are elected on the basis of a First-Past-The-Post system of voting. 

Within the forty one constitutencies or districts within the country, any person who attains the majority of the votes cast will serve as a Member of the House of Representatives and also may be selected by the Prime Minister to serve as a Minister/Junior Minister/or Parliamentary Secretary.  Senators, on the other hand are nominated. Sixteen members are selected by the Government, six by the Leader of the Opposition and nine 'independent' candidates are selected by the President of the country.  

While Bills are debated in the House of Representatives, they cannot become laws unless they are debated and agreed to in the Senate. If for some reason, the Senate is unable to agree to the proposal or if they suggest changes, this must be returned to the House of Representatives for amendments. If members of the Senate agree, the Bill is then sent to the President for his ""Assent."" 

In the General Elections of 2010, the United National Congress which formed a coalition with a number of poltical parties, including the Congress of the People, the Movement for Social Justice and the National Joint Action Committee and the Tobago Organization of the People, won twenty nine seats and formed the Government. The Party is referred to as the People's Partnership. The Opposition Party, the People's National Movement, won twelve of the forty one seats.  The current President is Anthony Carmona."
US,United States,67,71,67,"In the United States, direct public funding is available only for presidential candidates, and only if they pledge to abide by spending caps and eschew the collection of other sources of funding. As such, during the 2012 elections, state funds were disbursed only to minor party candidates, as the major party candidates chose to raise and spend more money than they would have received by retaining their eligibility for public funding. No indirect funding or subsidized access to advertising exists. The use of non-financial state resources in campaigns is prohibited, but in at least a few cases, such resources were abused for electoral purposes during recent campaigns. Various restrictions on direct contributions are specified in law, but campaign spending remains unrestricted. This leads to hugely expensive elections in which parties and candidates rely heavily on private donations, many of which come from large individual donors and political action committees. The US system has rigorous reporting requirements. Both candidates and parties must, by law, report regularly on their finances. In practice, the reports filed with the Federal Elections Commission (FEC) include all direct contributions received. All filed reports are available online in machine readable formats, and are easily accessible to the public. Some third party actors are required to submit detailed financial reports to the FEC. Others, however, including are under no such obligations (see indicator #34 for a complete explanation). This means that, in practice, some information on the independent political activities of third party actors is available to the public, but much of their expenditures, and the donors who finance them, remain dark. The FEC is in charge of regulating political finance. Its members, in practice, are appointed on a partisan basis, and their independence is not guaranteed. The FEC carried out a number of audits after the 2012 elections, and imposed sanctions, some of which were complied with. Most sanctions, however, are relatively light, and are imposed well after the violation occurred, which diminishes their impact. To impose sanctions or initiate an investigation, the FEC needs a quorum of 4 of its 6 members. Three of the commissioners are Republicans and three are left-leaning. As such, they often gridlock, which means that a good deal of potential violations go without investigation. Serious concerns about the FEC's ability to meaningfully regulate political finance exist, and dark money appears to play an increasing role in American politics.","The United states has national elections for a bicameral legislature and a directly elected President. 

The House of Representatives is comprised of 435 voting representatives proportionally representing the population of all 50 states. Each member is directly elected through a first-past-the-post system to a two-year term in their electoral district. Non-voting members represent non-state territories, such as the District of Columbia, Guam, etc. 

The Senate is comprised of 100 Senators, 2 directly elected in each of the 50 States in statewide voting. Senators are elected for six-year terms, with 1/3 of the seats up for election every two years. 

The President is both the Head of State and Head of Government and is elected to a four-year term with an absolute majority of votes, by an electoral college comprising 538 members. Presidential elections coincide with the election of all 435 House seats and 1/3 of Senator seats. Presidents are limited to two terms or, in the case of vice presidents who accede to the presidency, ten years in office.  There are no term limits for representatives or senators.  The most recent presidential election took place on 6 November 2012, and the next election for all House seats and 1/3 of Senate seats taking place 4 November 2014. 

Funding for campaigns is predominantly private, though there is public funding available for presidential campaings if candidates meet certain requirements, including acquiscing to an expenditure cap. However, it is almost entirely private as major presidential candidates have stopped taking public funding. Candidates manage their campaign finances through campaign committees, and other campaign committees (such as party committees and independent political action committees) are also regulated and monitored by the Federal Election Commission. Federal law defines as a “political committee” any organization that raises or spends more than $1000 in a calendar year to influence a federal election. 2 U.S. Code § 431(4). Every candidate for federal office is required to designate a “principal campaign committee,” 2 U.S. Code § 432(e)(1) which must register and file prescribed forms with the Federal Election Commission as well as satisfy certain organizational requirements. Political party committees are also political committees subject to these rules. There are six national party committees – the Democratic National Committee, Republican National Committee, and each party’s campaign committees for the House and for the Senate. State parties that participate in federal elections, including by spending on certain activities that benefit an entire federal-state slate of candidates are subject to federal requirements as are local party committees. Non-party organizations that have the primary purpose of engaging in federal electoral activity, and raise or spend above the threshold amounts, are subject to registration and reporting requirements, too. These include both committees established by corporations and unions (which are barred from giving directly to candidates, but can support candidates through donations raised from people affiliated with those organizations); committees established by non-profit organizations barred from participating directly in electoral politics; and so-called “non-connected committees: that exist for political purposes. In addition, there are groups that are not primarily political – or at least they so contend – that engage in some federal electoral activity but do not have to register as political committees. They will, however, have to report certain kinds of electoral spending that crosses the statutory threshold level.

Most states require parties to nominate candidates in primary elections, so that every election really involves two elections, the primary and the general. Presidential candidates run in primaries or other nominating contests in the states, spread out over many months. Due at least in part to the use of primaries to nominate candidates, as well as the relative weakness of party organizations at the national level, American elections have long been very candidate-centered. Candidates run on party lines, but manage (and finance) their own campaigns, with party support in the general election. 

The Democratic and Republican Parties have long dominated federal elections. Under the Electoral College system, winning the presidential election requires winning pluralities of the popular vote in states, and no independent candidate or party has carried even a single state since 1968. An occasional independent wins election to Congress but they tend to sit with one or the other of the major parties.  At the national level, the two major parties are closely balanced. The Democratic and Republican candidates have each won five of the last ten presidential elections. Democrats have controlled the House for 24 of the last 40 years, although the Republicans have dominated more recently, controlling that chamber for 16 of the last 20 years. Democrats have been the majority in the Senate for 23 ½ of the last 40 years, and 9 ½ of the last 20 years; Republicans had the majority the rest of the time."
UY,Uruguay,46,58,48,"In Uruguay, both parties and candidates receive direct public funding, in law and in practice. No subsidies are granted for access to advertising during campaigns. There are some limits and restrictions on contributions, but campaign spending is not limited to a maximum amount. In practice, public funding tends to be the most important component of campaign financing. No documented cases of violations of contribution limits were found during the 2009 elections. The reporting of financial information is required before and after campaigns, and parties also have to submit detailed accounts of contributions and expenditure on an annual basis. In practice, filed reports are not always completely itemized, nor are they completely inclusive of all donors. At least some of the financial data submitted to the electoral authority is made available online, but formats and standards vary, which makes the information somewhat difficult to analyze and compare. Third party actors are increasingly prevalent in Uruguay, but their independent political activities are not regulated. The Electoral Court is charged with oversight of political finance. Its members, in practice, are not appointed on the basis of their merit, and their independence is not fully guaranteed. The body has neither conducted investigations nor imposed sanctions, and as a result, enforcement in Uruguay is somewhat toothless.","Uruguay has a bicameral legislature with a directly elected presidential executive. Uruguay has a multi-party system, with three dominant political parties.

The House of Representatives shall be composed of ninety-nine members elected directly by the people under a system of proportional representation in which take into account the votes cast for each party throughout the country. The Senate shall consist of thirty members, elected directly by the people, in one constituency. 

The President and Vice President are elected together, directly by an absolute majority of voters. If the absolute majority is not obtained in the first round a second election takes place 30 days later only to determine the president and vice president. Each party may submit a nomination for the Presidency and the Vice Presidency.

The duration of the term in both cases is five years. Consecutive re-election is prohibited but the president may stand for election again after sitting out a term.

In Uruguay Presidential and Parliamentary national elections take place at the same time. The last national election took place on October the 26th, 2014. The prior elections took place in 2009. Voting in Uruguay is legally mandatory."
VE,Venezuela,29,45,16,"Venezuela does not provide direct or indirect public funding for campaigns. Non-financial state resources, however, often featured in the 2013 elections, despite a clear legal prohibition on their use during campaigns. The law restricts very few contributions, and campaign spending is not limited to a maximum amount. Parties thus rely primarily on private funding. Both parties and candidates are legally required to report on their finances during campaigns, and parties must make their accounting books available for examination throughout the year. In practice, it is unclear whether financial reports are comprehensive. The political finance information of parties and candidates is classified in Venezuela, and the public is thoroughly unable to access any data on campaign contributions and expenditure. Unions and other third party actors indirectly participate in campaigns, but their independent electoral activities are not subject to any regulation. The National Electoral Council (CNE) is responsible for overseeing political finance in Venezuela. Its members are appointed by the legislature, but not on merit, and their independence is, in practice, compromised. The CNE is a passive authority, and has neither investigated nor sanctioned any potential violations of political finance laws in recent memory.","Venezuela is a presidentialist system, with a strong executive, a unicameral legislature and a directly elected President.  The President serves as the head of government, and is elected every six years.  The most recent Presidential elections were held in 2013 after the death of Hugo Chavez, who had been elected in 2012.  Nicolas Maduro of the PSUV, a longtime Chavez deputy, won the 2013 election amid much controversy. Maduro's official tally was 50.61%, and Capriles' was 49.12 %; the difference amounted to 223,599 votes in a total of 15.057.480 votes. The candidates were supported by two broad coalitions: Maduro represented the ""Great Patriotic Pole"", an alliance of president Chávez's party, the PSUV, and a variety of minor parties and social organizations, and Capriles headed the ""Board of Democratic Unity"" (MUD, for its Spanish name), a broad alliance of parties ranging ideologically from liberals to marxists  but predominantly social democratic. The campaign and the elections themselves were marred by accusations of abuse of power by the government, inequity in media access by the candidates, and partialization of the electoral authority and the judiciary.

There are, in total, 165 representatives in the legislature. 110 of them are elected by a plurality vote in single member or multiple member districts, while 52 are elected in a closed list proportional representative system, and three are elected in single member indigenous constituencies.The most recent legislative election took place in 2010, and the principal actors were the two coalitions already described. Although the results were very close, (48.2% for the government and 47.2% for the MUD) the electoral system (which over-represents majorities) and the composition of the electoral districts resulted in 58.18% of the seats for the pro-government camp and only 38.78% for the MUD. A third, minority actor, the PPT, whose stand was to avoid the poles and be neutral among them, obtained 3.1% of the vote and 1.21% of the seats.

Mainstream parties finance the campaigns of their candidates, though in very exceptional cases, independent candidates may manage their own campaign funds. In recent presidential campaigns, the alliances have set up central commands concentrating the strategic and tactical operations, as well as the procure of funds. Usually, the presidential candidates themselves are kept at a certain distance from the financial aspects of the campaign."
